Biomarker,Importance
x1_SI_Epstein_Barr_virus_(chronic_latent)_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.209025866210632
x1_SI_Herpes_simplex_virus_1_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.11915030554253404
x1_SI_Cytomegalovirus_Patient_Report_No_stage_Viral_All_motif_ScoreSum,0.09744894028612375
x1_Flow_Cyt_HLADRncMonoMFInonnorm,0.09735469882532174
x1_ELISA_S1_800_ML,0.0758716063874773
x0_Sample_Time_Min,0.053302290734173315
x1_Flow_Cyt_CD66bCD16intNeutMFInonnorm,0.04877902137275057
x1_Flow_Cyt_CD66bTotalNeutMFInonnorm,0.048219009673106536
x1_Flow_Cyt_CD66bEosMFInonnorm,0.04014944033741224
x1_ELISA_S_Tot_800_ML,0.03981905760344016
x1_Flow_Cyt_HLADRcMonoMFInonnorm,0.03467141622691479
x1_RBD_800_ML,0.03248435964007599
x1_Flow_Cyt_HLADRintMonoMFInonnorm,0.0310008916365144
x1_Flow_Cyt_CD66bCD16hiNeutMFInonnorm,0.023821211567585474
x1_Flow_Cyt_HLADREosMFInonnorm,0.01527123744824592
x1_Flow_Cyt_HLADRCD16hiNeutMFInonnorm,0.014312933612356688
x1_ELISA_N_400_ML,0.012036933530913197
x1_Flow_Cyt_HLADRofDC2MFInonnorm,0.003934330142910608
x1_Flow_Cyt_HLADRofDC1MFInonnorm,0.003346449221511098
